AgmtID,Unique,C1_Region,C1_LDC,C2_OECD,C2_G20,C2_BEPS,C1,C2,Signedyear,Effectiveyear,Type,Ratified,Terminated,5i,5ii,5iii,5iv,5v,5vi,5vii,5viii,7i,7ii,8i,10i,10ii,10iii,11i,12i,12ii,12iii,12iv,13i,13ii,16i,18i,18ii,21i,27i,source.country,destination.country
4509,1,Asia,FALSE,FALSE,FALSE,FALSE,Vietnam,Serbia,2013,2014,New treaty,Yes,No,6,YES,6,YES,YES,YES,YES,YES,NO,YES,NO,10,25,15,10,10,YES,YES,"NA",YES,NO,NO,NO,NO,YES,No,VNM,SRB
4754,1,Asia,FALSE,FALSE,FALSE,FALSE,Vietnam,Tunisia,2010,2014,New treaty,Yes,No,6,YES,6,NO,NO,YES,YES,YES,YES,YES,NO,10,"NA",10,10,10,YES,YES,"NA",YES,YES,NO,NO,NO,YES,No,VNM,TUN
618,1,Asia,TRUE,FALSE,FALSE,FALSE,Bangladesh,United Arab Emirates,2011,2013,New treaty,Yes,No,6,YES,6,NO,NO,YES,YES,YES,YES,YES,YES,5,3,10,10,10,YES,YES,"NA",YES,NO,YES,NO,NO,NO,No,BGD,ARE
1305,1,Asia,FALSE,FALSE,FALSE,FALSE,Cape Verde,Macau,2010,2013,New treaty,Yes,No,6,YES,6,YES,YES,NO,NO,YES,NO,NO,NO,10,"NA",10,10,10,YES,YES,"NA",NO,NO,YES,NO,NO,YES,No,CPV,MAC
1362,1,Africa,TRUE,FALSE,TRUE,TRUE,Ethiopia,China (People's Rep.),2009,2013,New treaty,Yes,No,6,NO,NO,YES,YES,NO,NO,YES,NO,NO,NO,5,"NA",5,7,5,YES,YES,"NA",YES,NO,NO,NO,YES,NO,No,ETH,CHN
1473,1,Africa,TRUE,FALSE,TRUE,TRUE,Congo (Dem. Rep.),South Africa,2005,2013,New treaty,Yes,No,6,YES,6,YES,YES,NO,NO,NO,NO,YES,NO,5,25,15,10,10,YES,YES,"NA",YES,NO,NO,YES,YES,YES,Yes,COD,ZAF
2007,1,Africa,TRUE,FALSE,TRUE,TRUE,Ethiopia,India,2011,2013,New treaty,Yes,No,6,YES,6,NO,NO,YES,NO,YES,NO,YES,NO,7.5,"NA",7.5,10,10,YES,YES,10,YES,YES,NO,NO,NO,NO,Yes,ETH,IND
2026,1,Africa,TRUE,TRUE,TRUE,TRUE,Ethiopia,United Kingdom,2011,2013,New treaty,Yes,No,6,NO,6,YES,YES,NO,YES,YES,NO,NO,NO,10,"NA",10,5,7.5,YES,YES,"NA",YES,NO,NO,NO,YES,YES,No,ETH,GBR
2598,1,Africa,TRUE,TRUE,FALSE,TRUE,Guinea-Bissau,Portugal,2008,2013,New treaty,Yes,No,6,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,10,"NA",10,10,10,NO,NO,"NA",YES,NO,NO,NO,NO,NO,No,GNB,PRT
2779,1,Asia,TRUE,FALSE,TRUE,TRUE,Nepal,India,2011,2013,Renegotiation,Yes,No,6,YES,3,NO,NO,YES,YES,YES,NO,YES,NO,5,10,10,10,15,YES,YES,"NA",YES,YES,NO,NO,NO,YES,YEs,NPL,IND
